"","Player","Team","Season","Minutes","Shots Faced","Goals Conceded","Saves","Header %","xG","G-xG","G/xG"
"","Đorđe Petrović","NER","2022","2065","111","26","84","5.4%","36.75","-10.75","0.71"
"","Andre Blake","PHI","2022","3394","130","26","100","12.3%","34.58","-8.58","0.75"
"","Roman Bürki","STL","2023","3195","160","39","120","15.0%","47.19","-8.19","0.83"
"","Andre Blake","PHI","2021","2585","98","22","76","18.4%","29.34","-7.34","0.75"
"","Daniel","SJE","2023","2068","113","27","84","13.3%","33.67","-6.67","0.80"
"","Matt Turner","NER","2021","2752","138","34","101","13.0%","40.47","-6.47","0.84"
"","Aljaz Ivacic","POR","2022","3208","163","48","112","16.6%","53.07","-5.07","0.90"
"","JT Marcinkowski","SJE","2021","3292","186","50","129","13.4%","54.85","-4.85","0.91"
"","Maxime Crépeau","VAN","2021","2684","126","29","97","15.1%","33.61","-4.61","0.86"
"","Đorđe Petrović","NER","2023","2186","126","26","98","14.3%","30.22","-4.22","0.86"
"","Andre Blake","PHI","2023","2566","96","24","70","11.5%","28.19","-4.19","0.85"
"","Brad Stuver","ATX","2022","3004","140","41","98","15.7%","45.02","-4.02","0.91"
"","Brad Stuver","ATX","2023","3318","178","53","124","12.9%","56.11","-3.11","0.94"
"","Eloy Room","CLB","2022","3398","146","39","103","22.6%","42.05","-3.05","0.93"
"","Maarten Paes","FCD","2022","3189","130","34","91","13.9%","36.69","-2.69","0.93"
"","Brad Guzan","ATL","2021","2860","127","29","98","9.4%","31.66","-2.66","0.92"
"","Carlos Coronel","NYRB","2021","3398","121","33","87","14.9%","35.65","-2.65","0.93"
"","Steve Clark","POR","2021","2319","124","30","88","15.3%","32.58","-2.58","0.92"
"","Roman Celentano","CIN","2023","3229","117","33","83","18.8%","35.46","-2.46","0.93"
"","Dayne St. Clair","MIN","2022","3094","155","44","109","14.8%","46.41","-2.41","0.95"
"","JT Marcinkowski","SJE","2023","1252","54","15","38","7.4%","17.27","-2.27","0.87"
"","Stefan Frei","SEA","2022","2679","123","38","85","13.8%","40.17","-2.17","0.95"
"","Alec Kann","ATL","2021","495","31","8","23","16.1%","10.17","-2.17","0.79"
"","Logan Ketterer","POR","2021","297","12","3","9","33.3%","4.99","-1.99","0.60"
"","Stefan Frei","SEA","2023","3087","100","26","72","18.0%","27.61","-1.61","0.94"
"","Alex Bono","DCU","2023","964","39","11","28","25.6%","12.54","-1.54","0.88"
"","Tim Melia","SKC","2023","1479","66","23","42","7.6%","24.53","-1.53","0.94"
"","Stefan Cleveland","SEA","2022","679","37","8","28","8.1%","9.50","-1.50","0.84"
"","Drake Callender","MIA","2022","2392","116","36","78","12.1%","37.34","-1.34","0.96"
"","Clément Diop","MTL","2021","799","32","9","23","34.4%","10.28","-1.28","0.88"
"","Steve Clark","HOU","2022","3237","153","46","104","14.4%","47.28","-1.28","0.97"
"","Kristijan Kahlina","CLT","2023","2329","108","32","75","7.4%","33.26","-1.26","0.96"
"","Maarten Paes","FCD","2023","2815","116","24","90","12.1%","25.15","-1.15","0.95"
"","Jacob Jackson","NER","2023","99","10","3","7","30.0%","4.07","-1.07","0.74"
"","Gabriel Slonina","CHI","2021","1062","60","15","45","20.0%","16.00","-1.00","0.94"
"","Chris Brady","CHI","2022","95","5","1","4","0.0%","1.96","-0.96","0.51"
"","James Pantemis","MTL","2022","1104","38","11","26","18.4%","11.89","-0.89","0.93"
"","Pedro Gallese","ORL","2021","2200","99","29","67","15.2%","29.82","-0.82","0.97"
"","Isaac Boehmer","VAN","2022","245","12","4","8","25.0%","4.82","-0.82","0.83"
"","Luka Gavran","TOR","2023","398","32","12","20","12.5%","12.79","-0.79","0.94"
"","Brad Stuver","ATX","2021","3277","191","52","136","15.7%","52.76","-0.76","0.99"
"","Joe Bendik","PHI","2021","238","8","3","5","12.5%","3.75","-0.75","0.80"
"","Max Anchor","VAN","2022","101","6","2","4","33.3%","2.72","-0.72","0.73"
"","George Marks","CLT","2023","712","41","12","29","14.6%","12.68","-0.68","0.95"
"","Alex Bono","TOR","2022","2449","126","41","84","12.7%","41.64","-0.64","0.98"
"","Matt Bersano","SJE","2022","151","10","3","6","10.0%","3.61","-0.61","0.83"
"","Spencer Richey","SEA","2021","196","5","0","5","40.0%","0.55","-0.55","0.00"
"","William Yarbrough","COL","2021","3271","142","31","106","14.8%","31.53","-0.53","0.98"
"","John McCarthy","LAFC","2022","101","6","2","4","16.7%","2.51","-0.51","0.80"
"","Stefan Frei","SEA","2021","1661","62","15","44","21.0%","15.48","-0.48","0.97"
"","Mason Stajduhar","ORL","2022","195","14","5","9","14.3%","5.42","-0.42","0.92"
"","Alex Roldan","SEA","2021","5","1","0","1","100.0%","0.37","-0.37","0.00"
"","Elliot Panicco","NSH","2023","198","9","1","8","11.1%","1.36","-0.36","0.74"
"","Spencer Richey","CHI","2022","103","4","2","2","25.0%","2.28","-0.28","0.88"
"","Andrew Tarbell","HOU","2023","100","4","0","4","0.0%","0.27","-0.27","0.00"
"","Jeff Attinella","POR","2021","185","5","1","4","0.0%","1.23","-0.23","0.81"
"","Thomas Hasal","VAN","2023","101","7","2","5","0.0%","2.17","-0.17","0.92"
"","Tim Melia","SKC","2021","2777","100","33","67","18.0%","33.08","-0.08","1.00"
"","Matt Freese","NYC","2023","906","33","8","25","6.1%","8.02","-0.02","1.00"
"","Justin Rasmussen","POR","2023","1","0","0","0","0.0%","0.00","0.00","0.00"
"","Gabriel Slonina","CHI","2022","3181","126","44","80","13.5%","43.94","0.06","1.00"
"","Aljaz Ivacic","POR","2021","464","32","12","20","21.9%","11.93","0.07","1.01"
"","Tomás Romero","TOR","2023","601","35","12","23","5.7%","11.91","0.09","1.01"
"","Patrick Schulte","CLB","2023","3035","133","41","89","16.5%","40.90","0.10","1.00"
